2026-05-16 22:00:01 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'Defining geographic areas of the Alpine National Park'
2026-05-17 00:20:28 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 452/1241: only 1 rollup input ('Confidential Source Identification Leading to Landmark Litigation')
2026-05-17 00:20:28 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 453/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:20:28 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 453/1241: only 1 rollup input ('Walter Cronkite's Narration in the Film on Journalism Challenges')
2026-05-17 00:20:28 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 454/1241 (3 entity members from 1 super-nodes)
2026-05-17 00:20:28 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 454/1241: only 1 rollup input ('Corporate Communications and Government Affairs at The Boeing Company')
2026-05-17 00:20:28 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 455/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:20:28 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 455/1241: only 1 rollup input ('Media Relations Position within Lockheed Martin')
2026-05-17 00:20:28 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 456/1241 (3 entity members from 1 super-nodes)
2026-05-17 00:20:28 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 456/1241: only 1 rollup input ('Regional Components of the Lothian and Borders Area')
2026-05-17 00:20:28 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 457/1241 (5 entity members from 2 super-nodes)
2026-05-17 00:20:56 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Mapping Specific Locations in East Lothian' id=community_l1_1b3956dd8f1e4853ad5d4681fe033ac2
2026-05-17 00:20:57 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 5 for community 'Mapping Specific Locations in East Lothian'
2026-05-17 00:20:57 | IngestionPipeline | INFO |   [Community] ✓ Created L1 community 'Mapping Specific Locations in East Lothian' (id=community_l1_1b3956dd8f1e4853ad5d4681fe033ac2, 5 members)
2026-05-17 00:20:57 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 458/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:20:57 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 458/1241: only 1 rollup input ('A198 Road through Dirleton')
2026-05-17 00:20:57 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 459/1241 (5 entity members from 2 super-nodes)
2026-05-17 00:21:25 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Parliamentary Merger of Ancient Scottish Parishes' id=community_l1_c5f52252eb8e435ab935200eb4c5a93a
2026-05-17 00:21:25 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 5 for community 'Parliamentary Merger of Ancient Scottish Parishes'
2026-05-17 00:21:25 | IngestionPipeline | INFO |   [Community] ✓ Created L1 community 'Parliamentary Merger of Ancient Scottish Parishes' (id=community_l1_c5f52252eb8e435ab935200eb4c5a93a, 5 members)
2026-05-17 00:21:25 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 460/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:21:25 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 460/1241: only 1 rollup input ('Haddingtonshire's creation from Scottish local government reform')
2026-05-17 00:21:25 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 461/1241 (4 entity members from 1 super-nodes)
2026-05-17 00:21:25 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 461/1241: only 1 rollup input ('Anglo-Saxon Influence and Early Medieval Kingdoms')
2026-05-17 00:21:25 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 462/1241 (3 entity members from 1 super-nodes)
2026-05-17 00:21:25 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 462/1241: only 1 rollup input ('Cession of Lothian to Scotland by King Edgar')
2026-05-17 00:21:25 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 463/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:21:25 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 463/1241: only 1 rollup input ('David I's Granting of Burghal Status')
2026-05-17 00:21:25 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 464/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:21:25 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 464/1241: only 1 rollup input ('Protected coastal environments in East Lothian')
2026-05-17 00:21:25 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 465/1241 (3 entity members from 1 super-nodes)
2026-05-17 00:21:25 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 465/1241: only 1 rollup input ('Natural geographical features forming Yellowcraig')
2026-05-17 00:21:25 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 466/1241 (4 entity members from 2 super-nodes)
2026-05-17 00:22:06 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Scottish Peerage and High Governance Structures' id=community_l1_5e8aa1dfd6b944b3ae85304f4c81b56f
2026-05-17 00:22:06 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 4 for community 'Scottish Peerage and High Governance Structures'
2026-05-17 00:22:06 | IngestionPipeline | INFO |   [Community] ✓ Created L1 community 'Scottish Peerage and High Governance Structures' (id=community_l1_5e8aa1dfd6b944b3ae85304f4c81b56f, 4 members)
2026-05-17 00:22:06 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 467/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:22:06 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 467/1241: only 1 rollup input ('The Historical Title and Impact of the Earldom of Fife')
2026-05-17 00:22:06 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 468/1241 (6 entity members from 2 super-nodes)
2026-05-17 00:22:47 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Scottish Parliamentary Service and Political Careers' id=community_l1_792ade334bca48a3bf4a1ae92630fbd2
2026-05-17 00:22:48 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 6 for community 'Scottish Parliamentary Service and Political Careers'
2026-05-17 00:22:48 | IngestionPipeline | INFO |   [Community] ✓ Created L1 community 'Scottish Parliamentary Service and Political Careers' (id=community_l1_792ade334bca48a3bf4a1ae92630fbd2, 6 members)
2026-05-17 00:22:48 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 469/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:22:48 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 469/1241: only 1 rollup input ('Main music styles of the Trash Box recordings')
2026-05-17 00:22:48 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 470/1241 (3 entity members from 1 super-nodes)
2026-05-17 00:22:48 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 470/1241: only 1 rollup input ('ZZ Top's Early Recordings and Compilation Releases')
2026-05-17 00:22:48 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 471/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:22:48 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 471/1241: only 1 rollup input ('Albums included in The Complete Studio Albums 1970-1990 reissue')
2026-05-17 00:22:48 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 472/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:22:48 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 472/1241: only 1 rollup input ('Tom Wolfe's essay on youth culture and entertainment')
2026-05-17 00:22:48 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 473/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:22:48 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 473/1241: only 1 rollup input ('Coltrane's Two-Volume 1980 MCA Reissue Set')
2026-05-17 00:22:48 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 474/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:22:48 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 474/1241: only 1 rollup input ('Live recordings from Japan published by Impulse! Japan')
2026-05-17 00:22:48 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 475/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:22:48 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 475/1241: only 1 rollup input ('Documentation of Waylon Jennings' Extensive Recorded Career')
2026-05-17 00:22:48 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 476/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:22:48 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 476/1241: only 1 rollup input ('Production of "Jole Blon" by Buddy Holly')
2026-05-17 00:22:48 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 477/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:22:48 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 477/1241: only 1 rollup input ('Country Music Collaborations Featuring Willie Nelson')
2026-05-17 00:22:48 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 478/1241 (4 entity members from 1 super-nodes)
2026-05-17 00:22:48 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 478/1241: only 1 rollup input ('Johnny Cash's Solo Recordings of "The Greatest Cowboy"')
2026-05-17 00:22:48 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 479/1241 (4 entity members from 2 super-nodes)
2026-05-17 00:23:26 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Distribution Models for Comprehensive Music Collections' id=community_l1_8ae4d5c1a8d040d380089caaeaf478f7
2026-05-17 00:23:27 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 4 for community 'Distribution Models for Comprehensive Music Collections'
2026-05-17 00:23:27 | IngestionPipeline | INFO |   [Community] ✓ Created L1 community 'Distribution Models for Comprehensive Music Collections' (id=community_l1_8ae4d5c1a8d040d380089caaeaf478f7, 4 members)
2026-05-17 00:23:27 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 480/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:23:27 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 480/1241: only 1 rollup input ('Compilations focused on Beatles Mono Mixes')
2026-05-17 00:23:27 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 481/1241 (3 entity members from 1 super-nodes)
2026-05-17 00:23:27 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 481/1241: only 1 rollup input ('Yellow Submarine Material Development Timeline')
2026-05-17 00:23:27 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 482/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:23:27 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 482/1241: only 1 rollup input ('Complementary box sets detailing the full Led Zeppelin catalog')
2026-05-17 00:23:27 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 483/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:23:27 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 483/1241: only 1 rollup input ('Evolving Titles and Lyrics of a Phil Spector Composition')
2026-05-17 00:23:27 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 484/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:23:27 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 484/1241: only 1 rollup input ('Inspirational Quotations from Memorial Markers')
2026-05-17 00:23:27 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 485/1241 (3 entity members from 1 super-nodes)
2026-05-17 00:23:27 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 485/1241: only 1 rollup input ('Artists collaborating on the 1987 'Trio' recording')
2026-05-17 00:23:27 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 486/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:23:27 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 486/1241: only 1 rollup input ('Original Analog Source Material for Albums')
2026-05-17 00:23:27 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 487/1241 (3 entity members from 1 super-nodes)
2026-05-17 00:23:27 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 487/1241: only 1 rollup input ('Vinyl Material Quality and Sourcing Difficulties')
2026-05-17 00:23:27 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 488/1241 (3 entity members from 1 super-nodes)
2026-05-17 00:23:27 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 488/1241: only 1 rollup input ('Podgorny’s tenure as First Secretary of the Central Committee')
2026-05-17 00:23:27 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 489/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:23:27 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 489/1241: only 1 rollup input ('Soviet statesmen operating during the Cold War era')
2026-05-17 00:23:27 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 490/1241 (8 entity members from 3 super-nodes)
2026-05-17 00:24:13 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Tracing Political Authority through Soviet Time Periods' id=community_l1_45a09a5a033846ffae2c2437135fac8e
2026-05-17 00:24:14 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 8 for community 'Tracing Political Authority through Soviet Time Periods'
2026-05-17 00:24:14 | IngestionPipeline | INFO |   [Community] ✓ Created L1 community 'Tracing Political Authority through Soviet Time Periods' (id=community_l1_45a09a5a033846ffae2c2437135fac8e, 8 members)
2026-05-17 00:24:14 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 491/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:24:14 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 491/1241: only 1 rollup input ('Soviet Leadership Transitions and Succession Dynamics')
2026-05-17 00:24:14 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 492/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:24:14 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 492/1241: only 1 rollup input ('Birth location in Belgorod Oblast')
2026-05-17 00:24:14 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 493/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:24:14 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 493/1241: only 1 rollup input ('Education at the Rybinsk Aviation Technology Institute during the 1930s')
2026-05-17 00:24:14 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 494/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:24:14 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 494/1241: only 1 rollup input ('Membership in the All-Union Communist Party in 1930')
2026-05-17 00:24:14 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 495/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:24:14 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 495/1241: only 1 rollup input ('Dzerzhinsky's Naming Connection to the MS Excelsior Neptune')
2026-05-17 00:24:14 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 496/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:24:14 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 496/1241: only 1 rollup input ('Wismar's Location within East Germany')
2026-05-17 00:24:14 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 497/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:24:14 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 497/1241: only 1 rollup input ('Defining Anti-Reformist Ideology within Soviet Leadership')
2026-05-17 00:24:14 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 498/1241 (3 entity members from 1 super-nodes)
2026-05-17 00:24:14 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 498/1241: only 1 rollup input ('Leadership Positions within the Communist Party of the Soviet Union')
2026-05-17 00:24:14 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 499/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:24:14 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 499/1241: only 1 rollup input ('Allegations linking Bazhanov to Yagoda's involvement in Sklyansky's death')
2026-05-17 00:24:14 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 500/1241 (3 entity members from 1 super-nodes)
2026-05-17 00:24:14 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 500/1241: only 1 rollup input ('The founding of global peace forums by Mikhail Gorbachev')
2026-05-17 00:24:14 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 501/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:24:14 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 501/1241: only 1 rollup input ('Global Participants in Peace and Well-Being Initiatives')
2026-05-17 00:24:14 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 502/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:24:14 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 502/1241: only 1 rollup input ('Bogotá's relationship to Colombia')
2026-05-17 00:24:14 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 503/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:24:14 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 503/1241: only 1 rollup input ('High-ranking Soviet Old Bolshevik Statesmen')
2026-05-17 00:24:14 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 504/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:24:14 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 504/1241: only 1 rollup input ('Central Power Structures of the Communist Party of the Soviet Union')
2026-05-17 00:24:14 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 505/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:24:14 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 505/1241: only 1 rollup input ('Persecution and Aid for Jewish Individuals in the Soviet Union')
2026-05-17 00:24:14 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 506/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:24:14 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 506/1241: only 1 rollup input ('Jewish Development Efforts within the Former Soviet Union')
2026-05-17 00:24:14 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 507/1241 (16 entity members from 6 super-nodes)
2026-05-17 00:24:43 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Navigating Botanical Names, Synonyms, and Geographic Distribution' id=community_l1_0ea4ff04b2334b4db935f11addbdaf08
2026-05-17 00:24:43 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 16 for community 'Navigating Botanical Names, Synonyms, and Geographic Distribution'
2026-05-17 00:24:43 | IngestionPipeline | INFO |   [Community] ✓ Created L1 community 'Navigating Botanical Names, Synonyms, and Geographic Distribution' (id=community_l1_0ea4ff04b2334b4db935f11addbdaf08, 16 members)
2026-05-17 00:24:43 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 508/1241 (4 entity members from 2 super-nodes)
2026-05-17 00:25:18 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Distribution Ranges Defined by Specific Flora' id=community_l1_a11f3b09d55b44d487a8b65ffdd67ad9
2026-05-17 00:25:19 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 4 for community 'Distribution Ranges Defined by Specific Flora'
2026-05-17 00:25:19 | IngestionPipeline | INFO |   [Community] ✓ Created L1 community 'Distribution Ranges Defined by Specific Flora' (id=community_l1_a11f3b09d55b44d487a8b65ffdd67ad9, 4 members)
2026-05-17 00:25:19 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 509/1241 (3 entity members from 1 super-nodes)
2026-05-17 00:25:19 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 509/1241: only 1 rollup input ('Potential Life Cycles and Growth Forms of Silene latifolia')
2026-05-17 00:25:19 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 510/1241 (3 entity members from 1 super-nodes)
2026-05-17 00:25:19 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 510/1241: only 1 rollup input ('Endemic Flora of Gibraltar')
2026-05-17 00:25:19 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 511/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:25:19 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 511/1241: only 1 rollup input ('Habitat Distribution within Western North American Geography')
2026-05-17 00:25:19 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 512/1241 (3 entity members from 1 super-nodes)
2026-05-17 00:25:19 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 512/1241: only 1 rollup input ('Age Determination of Ancient Biological Samples')
2026-05-17 00:25:19 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 513/1241 (4 entity members from 2 super-nodes)
2026-05-17 00:26:05 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Environmental Conditions Supporting Native Flora' id=community_l1_56cd60a91e124dc2842bae4950793b0d
2026-05-17 00:26:06 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 4 for community 'Environmental Conditions Supporting Native Flora'
2026-05-17 00:26:06 | IngestionPipeline | INFO |   [Community] ✓ Created L1 community 'Environmental Conditions Supporting Native Flora' (id=community_l1_56cd60a91e124dc2842bae4950793b0d, 4 members)
2026-05-17 00:26:06 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 514/1241 (9 entity members from 3 super-nodes)
2026-05-17 00:26:52 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Genetic Basis of Sexual Reproduction in Silene' id=community_l1_5b8bd3adab8b44ef9849713927d884c5
2026-05-17 00:26:52 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 9 for community 'Genetic Basis of Sexual Reproduction in Silene'
2026-05-17 00:26:52 | IngestionPipeline | INFO |   [Community] ✓ Created L1 community 'Genetic Basis of Sexual Reproduction in Silene' (id=community_l1_5b8bd3adab8b44ef9849713927d884c5, 9 members)
2026-05-17 00:26:53 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 515/1241 (3 entity members from 1 super-nodes)
2026-05-17 00:26:53 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 515/1241: only 1 rollup input ('Australian Air Force Squadron Operational Lineages')
2026-05-17 00:26:53 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 516/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:26:53 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 516/1241: only 1 rollup input ('Canberra Jets in Malayan Conflict Operations')
2026-05-17 00:26:53 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 517/1241 (6 entity members from 2 super-nodes)
2026-05-17 00:27:20 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Defining Command and Territory in the Pacific War' id=community_l1_eac6441152d742b08a78af4b97d926c9
2026-05-17 00:27:20 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 6 for community 'Defining Command and Territory in the Pacific War'
2026-05-17 00:27:20 | IngestionPipeline | INFO |   [Community] ✓ Created L1 community 'Defining Command and Territory in the Pacific War' (id=community_l1_eac6441152d742b08a78af4b97d926c9, 6 members)
2026-05-17 00:27:20 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 518/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:27:20 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 518/1241: only 1 rollup input ('Bismarck Archipelago's location within the Territory of New Guinea')
2026-05-17 00:27:20 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 519/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:27:20 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 519/1241: only 1 rollup input ('Locations for Queen's Birthday Honours Announcements')
2026-05-17 00:27:20 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 520/1241 (3 entity members from 1 super-nodes)
2026-05-17 00:27:20 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 520/1241: only 1 rollup input ('Introduction of the Canberra Bomber to the Royal Air Force')
2026-05-17 00:27:20 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 521/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:27:20 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 521/1241: only 1 rollup input ('English Electric's development work in the mid-to-late 1940s')
2026-05-17 00:27:20 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 522/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:27:20 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 522/1241: only 1 rollup input ('Successor Aircraft Mandates and Wartime Fast Bombers')
2026-05-17 00:27:20 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 523/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:27:20 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 523/1241: only 1 rollup input ('Canberra's Outstanding Performance Requirements')
2026-05-17 00:27:20 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 524/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:27:20 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 524/1241: only 1 rollup input ('Timeline and Operational Scope of the Asiatic-Pacific Conflict')
2026-05-17 00:27:20 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 525/1241 (4 entity members from 1 super-nodes)
2026-05-17 00:27:20 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 525/1241: only 1 rollup input ('Divisions of Pacific Operational Areas')
2026-05-17 00:27:20 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 526/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:27:20 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 526/1241: only 1 rollup input ('Alternate names for the Savoia-Marchetti SM.79 aircraft')
2026-05-17 00:27:20 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 527/1241 (4 entity members from 2 super-nodes)
2026-05-17 00:27:58 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Tupolev's Transition from Piston to Jet Bomber Technology' id=community_l1_875c6586470246aea15dbd0a7ed33e76
2026-05-17 00:27:58 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 4 for community 'Tupolev's Transition from Piston to Jet Bomber Technology'
2026-05-17 00:27:58 | IngestionPipeline | INFO |   [Community] ✓ Created L1 community 'Tupolev's Transition from Piston to Jet Bomber Technology' (id=community_l1_875c6586470246aea15dbd0a7ed33e76, 4 members)
2026-05-17 00:27:58 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 528/1241 (4 entity members from 2 super-nodes)
2026-05-17 00:28:45 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Wartime Operational History of RAAF Units in the Southwest Pacific' id=community_l1_f247b8eb23824f98bcb7493c160c7ef7
2026-05-17 00:28:46 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 4 for community 'Wartime Operational History of RAAF Units in the Southwest Pacific'
2026-05-17 00:28:46 | IngestionPipeline | INFO |   [Community] ✓ Created L1 community 'Wartime Operational History of RAAF Units in the Southwest Pacific' (id=community_l1_f247b8eb23824f98bcb7493c160c7ef7, 4 members)
2026-05-17 00:28:46 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 529/1241 (2 entity members from 1 super-nodes)
2026-05-17 00:28:46 | IngestionPipeline | DEBUG | [Community] Skipping L1 cluster 529/1241: only 1 rollup input ('Redesignation of a RAAF Squadron in February 1948')
2026-05-17 00:28:46 | IngestionPipeline | INFO | [Community] Summarising L1 cluster 530/1241 (4 entity members from 2 super-nodes)
2026-05-17 00:29:13 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Wartime Coastal Intelligence and Rescue Operations' id=community_l1_936e3204245a4f47ab7de80e85b5af6c
